[02-10-2024 12:09:08] info: 	z2m: Logging to console, file (filename: log.log)
[02-10-2024 12:09:08] info: 	z2m: Starting Zigbee2MQTT version 1.40.2 (commit #unknown)
[02-10-2024 12:09:08] info: 	z2m: Starting zigbee-herdsman (2.1.3)
[02-10-2024 12:09:08] error: 	zh:zstack:znp: Failed to determine if path is valid: 'Error: spawn udevadm ENOENT'
[02-10-2024 12:09:08] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[02-10-2024 12:09:08] info: 	zh:zstack:znp: Serialport opened
[02-10-2024 12:09:12] info: 	z2m: zigbee-herdsman started (resumed)
[02-10-2024 12:09:12] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20221226,"transportrev":2},"type":"zStack3x0"}'
[02-10-2024 12:09:12] info: 	z2m: bedroom (0x00124b00234304db): SNZB-04 - SONOFF Contact sensor (EndDevice)
[02-10-2024 12:09:12] info: 	z2m: Currently 1 devices are joined.
[02-10-2024 12:09:12] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[02-10-2024 12:09:12] warning: 	z2m: Allowing new devices to join.
[02-10-2024 12:09:12] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[02-10-2024 12:09:12] info: 	z2m: Zigbee: allowing new devices to join.
[02-10-2024 12:09:12] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[02-10-2024 12:09:12] info: 	z2m: Connected to MQTT server
[02-10-2024 12:09:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[02-10-2024 12:09:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom/availability', payload '{"state":"online"}'
[02-10-2024 12:09:12] info: 	z2m: Started frontend on port 8099
[02-10-2024 12:09:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[02-10-2024 12:09:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":82,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-10-02T11:48:32+03:00","linkquality":127,"tamper":false,"voltage":2900}'
[02-10-2024 12:09:12] info: 	z2m: Zigbee2MQTT started!
[02-10-2024 12:09:17] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/1221051039810110150109113116116_0x00124b0024bc4724/connection_state/config', payload '{"device":{"hw_version":"zStack3x0 20221226","identifiers":["zigbee2mqtt_bridge_0x00124b0024bc4724"],"manufacturer":"Zigbee2MQTT","model":"Bridge","name":"Zigbee2MQTT Bridge","sw_version":"1.40.2"},"device_class":"connectivity","entity_category":"diagnostic","name":"Connection state","object_id":"zigbee2mqtt_bridge_connection_state","origin":{"name":"Zigbee2MQTT","sw":"1.40.2","url":"https://www.zigbee2mqtt.io"},"payload_off":"offline","payload_on":"online","state_topic":"zigbee2mqtt/bridge/state","unique_id":"bridge_0x00124b0024bc4724_connection_state_zigbee2mqtt","value_template":"{{ value_json.state }}"}'
[02-10-2024 12:40:36] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":82,"battery_low":false,"contact":false,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-10-02T12:40:36+03:00","linkquality":145,"tamper":false,"voltage":2900}'
[02-10-2024 12:41:29] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":82,"battery_low":false,"contact":false,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-10-02T12:40:36+03:00","linkquality":145,"tamper":false,"voltage":2900}'
