[2024-09-23 05:27:34] info: 	z2m: Logging to console, file (filename: log.log)
[2024-09-23 05:27:34] info: 	z2m: Starting Zigbee2MQTT version 1.40.1 (commit #unknown)
[2024-09-23 05:27:34] info: 	z2m: Starting zigbee-herdsman (0.57.3)
[2024-09-23 05:27:34] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2024-09-23 05:27:34] info: 	zh:zstack:znp: Serialport opened
[2024-09-23 05:27:34] info: 	z2m: zigbee-herdsman started (resumed)
[2024-09-23 05:27:34] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20221226,"transportrev":2},"type":"zStack3x0"}'
[2024-09-23 05:27:34] info: 	z2m: Currently 0 devices are joined.
[2024-09-23 05:27:34] info: 	z2m: Zigbee: disabling joining new devices.
[2024-09-23 05:27:34] info: 	z2m: Connecting to MQTT server at mqtt://localhost:1883
[2024-09-23 05:27:34] error: 	z2m: MQTT error: connect ECONNREFUSED ::1:1883
[2024-09-23 05:27:34] error: 	z2m: MQTT failed to connect, exiting... (connect ECONNREFUSED ::1:1883)
[2024-09-23 05:27:34] info: 	z2m: Stopping zigbee-herdsman...
[2024-09-23 05:27:35] error: 	z2m: MQTT error: connect ECONNREFUSED ::1:1883
[2024-09-23 05:27:36] error: 	z2m: MQTT error: connect ECONNREFUSED ::1:1883
[2024-09-23 05:27:37] error: 	z2m: MQTT error: connect ECONNREFUSED ::1:1883
[2024-09-23 05:27:38] error: 	z2m: MQTT error: connect ECONNREFUSED ::1:1883
[2024-09-23 05:27:39] error: 	z2m: MQTT error: connect ECONNREFUSED ::1:1883
[2024-09-23 05:27:40] error: 	z2m: MQTT error: connect ECONNREFUSED ::1:1883
[2024-09-23 05:27:41] error: 	z2m: MQTT error: connect ECONNREFUSED ::1:1883
[2024-09-23 05:27:42] error: 	z2m: MQTT error: connect ECONNREFUSED ::1:1883
[2024-09-23 05:27:43] error: 	z2m: MQTT error: connect ECONNREFUSED ::1:1883
[2024-09-23 05:27:44] error: 	z2m: MQTT error: connect ECONNREFUSED ::1:1883
[2024-09-23 05:27:45] info: 	zh:controller: Wrote coordinator backup to '/config/zigbee2mqtt/coordinator_backup.json'
[2024-09-23 05:27:45] info: 	zh:zstack:znp: closing
[2024-09-23 05:27:45] info: 	zh:zstack:znp: Port closed
[2024-09-23 05:27:45] info: 	z2m: Stopped zigbee-herdsman
